mode,sigma_start,denoise_steps,sigma_schedule,target_latent_idx,prev_latent_baseline_cos,initial_noise_cos,latent_cos_pred_x0,latent_mse_pred_x0,latent_cos_x_final,latent_mse_x_final,cos_x_final_vs_baseline_diff,cos_pred_x0_vs_baseline_diff,hidden_cos,run_dir,cond_frames,future_pixel_frames,frame_start,frame_stride,cond_latent_frames,summary_target_latent_idx,latent_shape
A1_causal,0.05,20,0.05 0.043895159 0.038440694 0.03357781 0.029252042 0.025413013 0.022014199 0.019012705 0.016369045 0.014046937 0.012013107 0.010237091 0.0086910589 0.0073496364 0.006189741 0.0051904222 0.00433271 0.0035994716 0.0029752742 0.0024462554 0.002,4,0.9647329449653625,-0.0012016063556075096,0.052670035511255264,0.6768665313720703,0.04966165870428085,0.6770420074462891,-0.9150712862610817,-0.9120629094541073,0.7470606565475464,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.05,35,0.05 0.046428293 0.04307755 0.039936259 0.036993394 0.034238398 0.031661169 0.029252042 0.02700178 0.024901555 0.022942936 0.021117876 0.019418696 0.017838078 0.016369045 0.015004953 0.013739481 0.012566613 0.011480631 0.010476106 0.0095478787 0.0086910589 0.0079010086 0.0071733342 0.0065038765 0.0058887014 0.0053240903 0.0048065312 0.00433271 0.0038995022 0.0035039643 0.0031433262 0.0028149829 0.0025164877 0.0022455443 0.002,4,0.9647329449653625,-0.003520434722304344,0.050149112939834595,0.6770139336585999,0.04714469239115715,0.6771907806396484,-0.9175882525742054,-0.914583832025528,0.7517222166061401,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,1,0.1 0.002,4,0.9647329449653625,0.0026240975130349398,0.04475990682840347,0.6774439215660095,0.04356147721409798,0.6775480508804321,-0.9211714677512646,-0.9199730381369591,0.5036190748214722,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,3,0.1 0.034031643 0.0095132449 0.002,4,0.9647329449653625,0.0001268406631425023,0.04641517624258995,0.6774328947067261,0.044718340039253235,0.6775864958763123,-0.9200146049261093,-0.9183177687227726,0.7298724055290222,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,5,0.1 0.053439289 0.02684994 0.01251403 0.0053114877 0.002,4,0.9647329449653625,-0.0013214683858677745,0.042821843177080154,0.6778272986412048,0.041134752333164215,0.6779896020889282,-0.9235981926321983,-0.9219111017882824,0.7608239650726318,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,10,0.1 0.073616384 0.053439289 0.038200974 0.02684994 0.018521996 0.01251403 0.0082603545 0.0053114877 0.0033152443 0.002,4,0.9647329449653625,0.00040146365063264966,0.047358833253383636,0.6774795055389404,0.04568282514810562,0.6776453256607056,-0.9190501198172569,-0.9173741117119789,0.7757561206817627,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,20,0.1 0.085943847 0.073616384 0.062836682 0.053439289 0.045273219 0.038200974 0.032097629 0.02684994 0.022355512 0.018521996 0.015266332 0.01251403 0.01019849 0.0082603545 0.0066469055 0.0053114877 0.0042129709 0.0033152443 0.0025867421 0.002,4,0.9647329449653625,-0.0017640478909015656,0.043575987219810486,0.6778555512428284,0.041914403438568115,0.6780245304107666,-0.9228185415267944,-0.9211569577455521,0.7776182889938354,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.1,35,0.1 0.091745113 0.084081337 0.076972968 0.070386051 0.06428831 0.05864909 0.053439289 0.048631306 0.044198975 0.040117511 0.036363458 0.032914628 0.029750055 0.02684994 0.024195604 0.021769437 0.019554856 0.017536254 0.01569896 0.014029194 0.01251403 0.011141349 0.0098998054 0.008778789 0.007768387 0.00685935 0.006043058 0.0053114877 0.0046571809 0.0040732143 0.00355317 0.0030911073 0.0026815359 0.0023193893 0.002,4,0.9647329449653625,-0.001511180424131453,0.04526720568537712,0.6777197122573853,0.04358358681201935,0.6778922080993652,-0.9211493581533432,-0.9194657392799854,0.7834326028823853,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.2,1,0.2 0.002,4,0.9647329449653625,-0.001076340675354004,0.02476833201944828,0.6806302666664124,0.024364545941352844,0.6807107329368591,-0.9403683990240097,-0.9399646129459143,0.618087112903595,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
A1_causal,0.2,3,0.2 0.0586824 0.013257717 0.002,4,0.9647329449653625,0.0012682550586760044,0.03422459959983826,0.6804734468460083,0.03334273397922516,0.6806098222732544,-0.9313902109861374,-0.9305083453655243,0.7415335178375244,/data/repos/cosmos_causal_probe/outputs/history_sigma_steps_sweep/cond_13_future_4,13,4,0,1,4,4,1x16x5x88x160
