target,source,layer,horizon,future_step,future_step_1based,split,loss,uv_mse_norm,uv_rmse_norm,uv_mae_norm,uv_mae_px,valid_fraction
future_uv,denoise_step=001,12,45.0,10,11,val,0.017505570843763883,0.017505570843763883,0.1119088516002748,0.08312085315014012,24.059828289709856,0.18292682989133774
future_uv,denoise_step=001,12,45.0,10,11,test,0.020602721956174814,0.020602721956174814,0.14196269451708032,0.1185203845425669,32.68203192764187,0.2256728760574175
future_uv,denoise_step=001,16,8.0,1,2,val,0.018194384574370934,0.018194384574370934,0.11860326555547814,0.09087559977994147,25.626557207273688,0.4216027868334009
future_uv,denoise_step=001,16,8.0,1,2,test,0.04077489043954243,0.04077489043954243,0.1971672389879977,0.1644106634408544,46.38320749097236,0.44099379079435674
future_uv,denoise_step=001,16,16.0,3,4,val,0.021001570731505284,0.021001570731505284,0.12437720897928763,0.09460807726669809,26.871376037597656,0.37456446117640374
future_uv,denoise_step=001,16,16.0,3,4,test,0.031595799516631946,0.031595799516631946,0.17602207997570868,0.14475372230044062,40.95853506210675,0.3995859170058746
future_uv,denoise_step=001,16,24.0,5,6,val,0.017650141163310522,0.017650141163310522,0.11512440520919574,0.08870878151069535,25.124239439748305,0.3344947735191638
future_uv,denoise_step=001,16,24.0,5,6,test,0.031016090630281785,0.031016090630281785,0.17523955265310734,0.14795175990702944,40.82911012384956,0.364389237286388
future_uv,denoise_step=001,16,36.0,8,9,val,0.016728063156172788,0.016728063156172788,0.11107493329546593,0.08746284890257938,25.019862676746754,0.2421602773957136
future_uv,denoise_step=001,16,36.0,8,9,test,0.027466430673934904,0.027466430673934904,0.16472035260797782,0.13638782661647283,38.2229063614555,0.26915113939508395
future_uv,denoise_step=001,16,45.0,10,11,val,0.01940307426120346,0.01940307426120346,0.11954386386929489,0.09398325691032078,26.990645405307465,0.18292682989133774
future_uv,denoise_step=001,16,45.0,10,11,test,0.024906176248445766,0.024906176248445766,0.15471160023108774,0.1340983704380367,37.10217379931338,0.2256728760574175
future_uv,denoise_step=001,20,8.0,1,2,val,0.021757600115099435,0.021757600115099435,0.12949211095891347,0.10010358872936993,28.28184822959767,0.4216027868334009
future_uv,denoise_step=001,20,8.0,1,2,test,0.04686640680422447,0.04686640680422447,0.21097575732763263,0.1729808202935055,48.89431637908114,0.44099379079435674
future_uv,denoise_step=001,20,16.0,3,4,val,0.022344570191583566,0.022344570191583566,0.129772017849447,0.10366712053686068,29.48173085654654,0.37456446117640374
future_uv,denoise_step=001,20,16.0,3,4,test,0.03340771459582923,0.03340771459582923,0.18213216297127938,0.1499612335709558,42.069047339461115,0.3995859170058746
future_uv,denoise_step=001,20,24.0,5,6,val,0.01794992509956767,0.01794992509956767,0.11622701912391477,0.08992054399089947,25.566775212304517,0.3344947735191638
future_uv,denoise_step=001,20,24.0,5,6,test,0.0286570148075898,0.0286570148075898,0.1687585550127069,0.13814192245218818,38.34511915250348,0.364389237286388
future_uv,denoise_step=001,20,36.0,8,9,val,0.017310108327491774,0.017310108327491774,0.1127674982003634,0.08728624252076764,24.851140278141674,0.2421602773957136
future_uv,denoise_step=001,20,36.0,8,9,test,0.026623312160218477,0.026623312160218477,0.16239949659777972,0.13159262156017573,36.541937510172524,0.26915113939508395
future_uv,denoise_step=001,20,45.0,10,11,val,0.017452761303724314,0.017452761303724314,0.11262074071355813,0.08864585954033954,25.338256317564003,0.18292682989133774
future_uv,denoise_step=001,20,45.0,10,11,test,0.02325190541644891,0.02325190541644891,0.15110866333633724,0.13046456540223234,36.200402222311524,0.2256728760574175
future_uv,denoise_step=001,24,8.0,1,2,val,0.020154606531461772,0.020154606531461772,0.12462897770080832,0.09711248783284364,27.56695572590579,0.4216027868334009
future_uv,denoise_step=001,24,8.0,1,2,test,0.03947483965313336,0.03947483965313336,0.19522895628497713,0.1624862804978037,46.01427097202088,0.44099379079435674
future_uv,denoise_step=001,24,16.0,3,4,val,0.021425387448913546,0.021425387448913546,0.12764040668874668,0.10135439687281951,28.65416043643752,0.37456446117640374
future_uv,denoise_step=001,24,16.0,3,4,test,0.032592984899785946,0.032592984899785946,0.17982428084372487,0.14654231568177542,41.130739839921084,0.3995859170058746
future_uv,denoise_step=001,24,24.0,5,6,val,0.01811591468959112,0.01811591468959112,0.1165072956359345,0.08902719796015411,25.27281154406611,0.3344947735191638
