target,source,layer,split,loss,xyz_rmse_m,uv_mae_norm,depth_mae_m,velocity_mae_m_per_frame,contact_acc,success_acc,time_to_contact_acc,time_to_contact_mae_bucket
future,denoise_tau=0.450,14,test,0.8849517663319906,0.1053706725438436,0.0965437928835551,0.06789521674315134,0.029171564181645713,0.7666666746139527,0.9416666746139526,0.6770833412806193,1.125000007947286
current,denoise_tau=0.450,14,val,0.3089897547151659,0.11316160899359029,0.10603235787028199,0.06081007764889644,,0.7622377643218408,0.9947552447552448,,
current,denoise_tau=0.450,14,test,0.33236315051714577,0.11859118044376374,0.1129299725095431,0.06872741281986236,,0.712500003973643,0.9916666666666667,,
future,denoise_tau=0.450,27,val,0.9767850845843762,0.12433030003017478,0.10873792976974607,0.06215213580460815,0.03126190235460555,0.7346154055395326,0.9419580606313852,0.606643361645145,1.5157342707360542
future,denoise_tau=0.450,27,test,0.9982434749603272,0.1293192813793818,0.10549719134966533,0.060993066430091857,0.030138528843720754,0.7304166714350383,0.9412500143051148,0.6375,1.356250007947286
current,denoise_tau=0.450,27,val,0.31766463263885125,0.1129746900259198,0.1288132670146602,0.04300773362596552,,0.7342657363498127,0.9947552447552448,,
current,denoise_tau=0.450,27,test,0.3362810214360555,0.12076994578043619,0.09806293050448099,0.06561948210000992,,0.737500003973643,0.9916666666666667,,
future,denoise_tau=0.300,6,val,0.8991420444075044,0.12582098051801427,0.12016714661271422,0.06665078415112062,0.033374593834151756,0.7496503670732458,0.9419580606313852,0.6363636388645305,1.3286713386749054
future,denoise_tau=0.300,6,test,0.9728228330612183,0.1267886499563853,0.09593449880679449,0.0678793837626775,0.03589553261796633,0.7162500143051147,0.9412500143051148,0.6145833412806193,1.4708333492279053
current,denoise_tau=0.300,6,val,0.296350111702939,0.11963959423812119,0.11248454482822151,0.07140167938037352,,0.7465034977539436,0.9947552447552448,,
current,denoise_tau=0.300,6,test,0.34632856051127114,0.12330387433369955,0.11347970366477966,0.07722569406032562,,0.7416666706403097,0.9916666666666667,,
future,denoise_tau=0.300,14,val,0.9431383226301286,0.1157104929427167,0.11851182814453032,0.06142272086410256,0.03142868560719323,0.727622399380157,0.9419580606313852,0.6118881127217433,1.4300699409071382
future,denoise_tau=0.300,14,test,0.8945374091466268,0.112195618947347,0.09583737303813299,0.0696230724453926,0.0311683252453804,0.7533333460489909,0.9412500143051148,0.6541666746139526,1.2354166746139525
current,denoise_tau=0.300,14,val,0.30201345557099457,0.11634935000976482,0.11234032805566188,0.061431340586680636,,0.7587412620757843,0.9947552447552448,,
current,denoise_tau=0.300,14,test,0.3147086123625437,0.11237780352433523,0.10099782248338064,0.07562857667605082,,0.7270833373069763,0.9916666666666667,,
future,denoise_tau=0.300,27,val,0.9870722348039801,0.12516521678104267,0.09677737232271608,0.07361163506349483,0.036895177502940586,0.7146853300241324,0.9419580606313852,0.5996503534016909,1.5541958091975925
future,denoise_tau=0.300,27,test,0.9740925629933676,0.1270232965548833,0.10968617300192515,0.06742284595966339,0.03289006104071935,0.7429166952768962,0.9412500143051148,0.6458333373069763,1.325
current,denoise_tau=0.300,27,val,0.3236242470207748,0.11532512671880789,0.117025637282775,0.05185639493532114,,0.7447552480897703,0.9947552447552448,,
current,denoise_tau=0.300,27,test,0.35809481938680016,0.11696542004744212,0.10439756611982981,0.0458759476741155,,0.7125,0.9916666666666667,,
future,denoise_tau=0.200,6,val,0.8996013561328808,0.12101552098781079,0.1113313612612811,0.07014648095294312,0.03142568557620882,0.7601398725609679,0.9419580606313852,0.6625874150883068,1.187062945399251
future,denoise_tau=0.200,6,test,1.0061541080474854,0.12232276499271393,0.11315022259950638,0.07573367853959402,0.03316686525940895,0.7087500174840291,0.9412500143051148,0.6000000079472859,1.4604166825612386
current,denoise_tau=0.200,6,val,0.3014844858146214,0.1193176017149345,0.11592654539988591,0.08739817069543825,,0.7500000012504471,0.9947552447552448,,
current,denoise_tau=0.200,6,test,0.3433829307556152,0.10964829921722412,0.12010018626848856,0.0732627972960472,,0.7479166706403096,0.9916666666666667,,
future,denoise_tau=0.200,14,val,0.9244738525443977,0.11678126235525091,0.12014217091190231,0.059705845099854306,0.029211659297034457,0.731818192071848,0.9419580606313852,0.6223776273794107,1.39160839661018
future,denoise_tau=0.200,14,test,0.8845791180928548,0.10889759560426077,0.09377304315567017,0.0693748414516449,0.03146722242236137,0.7441666801770528,0.9412500143051148,0.650000003973643,1.2666666666666666
current,denoise_tau=0.200,14,val,0.29991503028602867,0.10828510041420276,0.11012599492198104,0.052825553746490214,,0.7430069950910715,0.9947552447552448,,
current,denoise_tau=0.200,14,test,0.3059091071287791,0.10231621662775675,0.09491874674956004,0.04900314435362816,,0.7208333333333333,0.9916666666666667,,
future,denoise_tau=0.200,27,val,0.9876669720336274,0.11618826637318085,0.12162559917131505,0.060408180306007815,0.030590361440098367,0.6951049066090084,0.9419580606313852,0.5821678334182793,1.5979021062384118
future,denoise_tau=0.200,27,test,0.9737468083699544,0.11885689596335093,0.09396528452634811,0.05695667068163554,0.029537551601727805,0.7450000166893005,0.9412500143051148,0.6354166666666666,1.3395833412806193
current,denoise_tau=0.200,27,val,0.32669946634686076,0.12430037172524246,0.12994289643072582,0.047979638866194475,,0.725524477608554,0.9947552447552448,,
current,denoise_tau=0.200,27,test,0.36430867910385134,0.13312299350897472,0.10566101372241973,0.04308673292398453,,0.7020833373069764,0.9916666666666667,,
future,denoise_tau=0.100,6,val,0.878566764451407,0.12495358996874803,0.11478980213820518,0.07887605806955925,0.03310511693671033,0.769230770898032,0.9419580606313852,0.6538461575974951,1.2325174925210594
future,denoise_tau=0.100,6,test,0.9881354014078776,0.12185323536396027,0.10515044232209524,0.07857948442300161,0.03489856173594793,0.7129166801770528,0.9412500143051148,0.618750003973643,1.44375
current,denoise_tau=0.100,6,val,0.29151613958232053,0.12443929973182145,0.12100442243622733,0.05906615570395977,,0.7587412624926,0.9947552447552448,,
current,denoise_tau=0.100,6,test,0.35585824251174925,0.12015038927396139,0.12146201034386953,0.04788800353805224,,0.7104166746139526,0.9916666666666667,,
future,denoise_tau=0.100,14,val,0.950026967308738,0.1181261276865339,0.11484819796535518,0.06539142861232891,0.033439205112782394,0.7370629498174974,0.9419580606313852,0.5979021033207019,1.515734272403317
future,denoise_tau=0.100,14,test,0.9111999789873759,0.10856360594431559,0.0928594653805097,0.06517575532197953,0.0336799090107282,0.7312500198682149,0.9412500143051148,0.64375,1.2854166746139526
current,denoise_tau=0.100,14,val,0.30222308739915593,0.1163455078547651,0.10541598806222835,0.05632005189056997,,0.7692307742325576,0.9947552447552448,,
current,denoise_tau=0.100,14,test,0.30466662645339965,0.10403811484575272,0.10489602188269297,0.06984957307577133,,0.7708333373069763,0.9916666666666667,,
future,denoise_tau=0.100,27,val,0.9753754739161138,0.12536158605472192,0.11199581268784049,0.06317102794463818,0.032818011210098134,0.7216783391012178,0.9419580606313852,0.620629371463002,1.4213286771640912
future,denoise_tau=0.100,27,test,0.9523080666859944,0.12163292666276296,0.09718687136967977,0.05058411533633868,0.02991341638068358,0.7383333484331767,0.9412500143051148,0.6333333333333333,1.3645833412806192
current,denoise_tau=0.100,27,val,0.32172820097082977,0.12184390154751865,0.11604298265663894,0.06378624468416601,,0.7307692366046505,0.9947552447552448,,
current,denoise_tau=0.100,27,test,0.3406782786051432,0.11363141338030497,0.09680483788251877,0.050248068571090695,,0.7104166746139526,0.9916666666666667,,
future,denoise_tau=0.000,6,val,0.8757188049229708,0.12527382238344711,0.1260560525880827,0.07327348994208382,0.037346460680653164,0.7818181985741729,0.9419580606313852,0.6783216791553097,1.1416083974438114
future,denoise_tau=0.000,6,test,0.9330273787180583,0.12611128489176432,0.11879765292008718,0.0735248401761055,0.03353622605403264,0.7537500222524007,0.9412500143051148,0.6458333333333334,1.318750007947286
current,denoise_tau=0.000,6,val,0.28511892061133487,0.12786223452824813,0.11703313178532607,0.057850620598642974,,0.783216784884046,0.9947552447552448,,
current,denoise_tau=0.000,6,test,0.3439909736315409,0.11790015896161397,0.11306992371877035,0.059184264640013376,,0.7645833333333333,0.9916666666666667,,
